Titel,Youtube code
Gitaar stemmen,P2WjHAmoGRk
Dm-akkoord,TsHUHG_DhoE
Shalom Chaverim - Dm,qhnbWrG5WKo
Laat ons met elkander (toonsoort D),WVa8zCXF3EE
Gij leidt mijn spoor,i3QSwYHnHZY
Alzo lief had God de wereld - met intro hardop,WxoCKs925PM
Psalm 21,DiSmjQ7ukyY
3-kwarts-maat,mQ8Mypqz-a0
"Grote God, wij loven U",jn8pG2dh1t8
Morning has broken,P9rDylXfyWk
"Heilig, heilig, heilig",IUJiVQBchl8
Daar juicht een toon,EoO8l9VOaC8
"Jezus, ga ons voor",rbWhzxllIWY
Beveel gerust uw wegen,hkwxB5n6f6k
k Stel mijn vertrouwen,oXuih0-VUdE
King of kings (toonsoort Em),CHiERQ_5j8U
"Rust mijn ziel, uw God is koning",k-Ku3DWU4lw
Psalm 24,0DS6R05iTm4
Constante snelheid,_f6YEPFelfI
"God, enkel licht",TaR2jY2LsmU
6-achtste-maat,bVXMXkE1BGI
't Scheepje onder Jezus' hoede,-TKY6BtDCuE
Nooit kan 't geloof teveel verwachten,QNZYadm1ZkY
"O, alle dorstigen",5h3XKPksHzY
Psalm 86,huJzk9G5ZgY
Barré-akkoordenschema,VcQdX5zhlss
A blind man stood by the road,0AOLujicZYE
Psalm 75,xJMxUldV5HQ
Be ye still and know,M2l00VxURLU
Wie zijn het die daar komen?,pfeVI9H1dUY
Kom in mijn hart,MHmq_cjv5D4
Psalm 39,FFCtZQ9qTEg
Zoekt eerst het koninkrijk van God,utDl3V3r4jE
Een vaste burcht is onze God,eG2g4rGZKi4
"Blijf bij mij, Heer'",pzMT_YvMgK0
"Op U, mijn Heiland, blijf ik hopen",70eAiImc8iM
"Heer, wat wilt Gij dat ik doe",4mJASMK5fZ4
"O, Heil'ge Geest die levend maakt",WEpRvegLtrw
Basloopje C-Am,CEAfZozcGrA
Basloopje G-Em,JSZXX4Gapog
Glorie aan God,mZUhwLXxjtM
Aanvullende ritmes 4/4-maat,l5xpVVHy7uA
Psalm 68,BnFUuVnkyc0
Do-Re-Mi-Fa-Sol-La-Si-Do,GDOFSm464PA
Ik droomde eens,fRcQDJe1mLM
Psalm 93,8uK1vvFGogQ
"Laat m'in U blijven groeien, bloeien",vJEuU5B65HI
"Halleluja, eeuwig dank en ere",gFkecR9OPIE
In het begin lag de aarde verloren,k92Yo21W6u4
U zij de glorie,zovdM-uZeLk
Meine Zeit,ziwq0A6ViYg
Blues-akkoordenschema,DQymiDwwez8
Onze Vader,s-0E6G5B2W4
Boventonen,MdzIfxMZagk
Stemmen met boventonen,2pC4MWxNLOs
Prijs mijn ziel de Hemelkoning,d9UCgUY__-g
"Jezus, mijn Heiland",f5ammc6CkUo
Eens zal op de grote morgen,LVP-GMVk3XI
Psalm 116,IWKRsAARcDM
Al waren uw zonden,W7uFa_Xlpxw
Fingerpicking - duim,wA3INhdTvQI
Fingerpicking - 4/4-maat,fvsjMqeigrE
Als g'in nood gezeten,p7pbC-gX9vQ
Psalm 33,F7d9dmILLPo
"Dankt, dankt nu allen God",k2nF6qrHvAw
"Zegen ons, Algoede",sOV3dhSOuME
Fingerpicking - 3/4-maat,9h7exKk1ZZA
"Heer, ik hoor van rijke zegen - 3-delige fingerpicking",FU0YD6XLXiE
